   ,juros ,amortizacao ,encargos_finaciamento ,saldo_devedor ,itbi    ,custos_fixos ,custos_iniciais ,reforma            ,venda               ,total               ,data       ,num_selic ,total_selic
 0 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,31500.0 ,-4500.0      ,      1052700.0 ,    0.0            ,0.0                 ,1079700.0           ,2023-10-11 ,   102.83 ,1190578.459593504
 1 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,41666.666666666664 ,0.0                 ,37166.666666666664  ,2023-11-11 ,   103.89 ,40565.293419321715
 2 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,41666.666666666664 ,0.0                 ,37166.666666666664  ,2023-12-11 ,   104.9  ,40174.72195741976
 3 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,41666.666666666664 ,0.0                 ,37166.666666666664  ,2024-01-11 ,   105.92 ,39787.84302618328
 4 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-02-11 ,   106.93 ,-4771.860095389507
 5 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-03-11 ,   107.86 ,-4730.715742629334
 6 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-04-11 ,   108.83 ,-4688.550951024534
 7 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-05-11 ,   109.76 ,-4648.82470845481
 8 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-06-11 ,   110.7  ,-4609.349593495935
 9 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-07-11 ,   111.59 ,-4572.587149386146
10 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,0.0                 ,-4500.0             ,2024-08-11 ,   112.5  ,-4535.6
11 ,  0.0 ,        0.0 ,                  0.0 ,          0.0 ,    0.0 ,-4500.0      ,            0.0 ,    0.0            ,-1268399.0821141768 ,-1272899.0821141768 ,2024-09-11 ,   113.39 ,-1272899.0821141768
